Crime Type,2018: Last 7 days,2017: Last 7 days,2018: Last 28 days,2017: Last 28 days,YTD 2018,YTD 2017,YTD 2016, YTD 2015,YTD 2014,CY 2017,CY 2016,CY 2015,CY 2014,CY 2013
MURDER,8,13,42,48,189,236,241,155,132,650,771,489,419,422
CRIM SEXUAL ASSLT,42,31,179,153,812,749,686,564,509,2016,1772,1559,1472,1422
ROBBERY,201,219,732,826,3685,4297,4113,3173,3428,11907,11945,9640,9801,11821
AGG BATTERY,154,146,576,571,2367,2499,2657,2401,2308,6604,7207,6535,6460,6341
BURGLARY,204,243,862,935,4261,5123,5040,4448,5283,12993,14292,13184,14573,17949
THEFT,293,324,1131,1179,5247,5695,5087,4544,5098,15414,15199,12752,15025,15575
MTR VEHICLE THEFT,172,182,744,774,3888,4452,4086,3682,3751,11531,11305,10057,9942,12594
TOTAL,1074,1158,4266,4486,20449,23051,21910,18967,20509,61115,62491,54216,57692,66124
SHOOTING INCIDENT,54,46,230,222,817,1019,,,,2786,3550,,,
